geoid;gini
36047061200;0,4875
36047061600;0,4953
36047062000;0,4398
36047062200;0,5516
36047062600;0,3833
36047062800;0,4471
36047063200;0,3918
36047063600;0,3564
36047063800;0,3941
36047064000;0,3502
36047064200;0,5222
36047064400;0,438
36047064600;0,4002
36047064800;0,3789
36047065000;0,4681
36047065200;0,3742
36047065400;0,4869
36047065600;0,3545
36047065800;0,4171
36047066000;0,4625
36047066200;0,4075
36047067000;0,4352
36047067200;0,3866
36047067400;0,4107
36047067600;0,3391
36047067800;0,3195
36047068000;0,3582
36047068200;0,3918
36047068600;0,3749
36047068800;0,3796
36047069000;0,4221
36047069200;0,2795
36047069601;0,4118
36047069602;0,4214
36047069800;0,3804
36047070000;0,5093
36047070201;0,5424
36047070202;0,1332
36047070600;0,3996
36047072000;0,3716
36047072200;0,3628
36047072400;0,3916
36047072600;0,3093
36047072800;0,4247
36047073000;0,4445
36047073200;0,3716
36047073400;0,3793
36047073600;0,4789
36047073800;0,4556
36047074000;0,402
36047074200;0,4442
36047074400;0,522
36047074600;0,4138
36047074800;0,4786
36047075000;0,4889
36047075200;0,4932
36047075400;0,3979
36047075600;0,4811
36047075800;0,5481
36047076000;0,537
36047076200;0,5179
36047076400;0,4995
36047076600;0,4402
36047076800;0,5631
36047077000;0,4937
36047077200;0,488
36047077400;0,3185
36047077600;0,3851
36047078000;0,3756
36047078200;0,4139
36047078400;0,4438
36047078600;0,4196
36047078800;0,4365
36047079000;0,4741
36047079200;0,4569
36047079400;0,4947
36047079601;0,433
36047079602;0,4277
36047079801;0,4362
36047079802;0,4262
36047080000;0,4661
36047080200;0,5077
36047080400;0,6138
36047080600;0,4455
36047080800;0,5041
36047081000;0,5134
36047081400;0,4783
36047081600;0,43
36047081800;0,4225
36047082000;0,6452
36047082200;0,4397
36047082400;0,4955
36047082600;0,4589
36047082800;0,4355
36047083000;0,3933
36047083200;0,3809
36047083400;0,3693
36047083600;0,4322
36047083800;0,4328
36047084000;0,4045
36047084600;0,4212
36047084800;0,39
36047085000;0,4068
36047085400;0,4549
36047085600;0,3867
36047085800;0,3707
36047086000;0,4128
36047086200;0,4616
36047086400;0,4497
36047086600;0,4883
36047086800;0,4064
36047087000;0,5197
36047087200;0,4415
36047087401;0,5027
36047087600;0,5698
36047087800;0,4503
36047088000;0,398
36047088200;0,4717
36047088400;0,4636
36047088600;0,5194
36047088800;0,485
36047089000;0,445
36047089200;0,4967
36047089400;0,457
36047089600;0,476
36047089800;0,621
36047090000;0,5741
36047090200;0,5456
36047090600;0,5677
36047090800;0,5837
36047091000;0,7191
36047091200;0,4706
36047091600;0,4714
36047091800;0,5601
36047092000;0,6583
36047092200;0,4524
36047092400;0,482
36047092800;0,4372
36047093000;0,3852
36047093200;0,3233
36047093400;0,4469
36047093600;0,3717
36047093800;0,4341
36047094401;0,4658
36047094402;0,4574
36047094600;0,4551
36047095000;0,3843
36047095400;0,3842
36047095600;0,4534
36047095800;0,4207
36047096200;0,4105
36047096400;0,4046
36047096600;0,4645
36047096800;0,4779
36047097000;0,4174
36047097400;0,3869
36047098200;0,4934
36047098400;0,3705
36047098600;0,3364
36047098800;0,3803
36047099000;0,4788
36047099200;0,3504
36047099400;0,3454
36047099600;0,4394
36047099800;0,326
36047100400;0,4318
36047100600;0,4027
36047100800;0,4349
36047101000;0,4423
36047101200;0,3819
36047101400;0,3744
36047101600;0,3082
36047101800;0,4308
36047102000;0,3808
36047102200;0,4243
36047102400;0,3394
36047102600;0,3712
36047102800;0,3575
36047103400;0,5065
36047105801;0,4497
36047105804;0,4262
36047107000;0,4236
36047107800;0,3662
36047109800;0,4454
36047110400;0,4952
36047110600;0,5359
36047111000;0,6261
36047111600;0,5174
36047111800;0,5461
36047112000;0,5623
36047112200;0,4967
36047112400;0,4994
36047112600;0,512
36047112800;0,4993
36047113000;0,4954
36047113200;0,4281
36047113400;0,5338
36047114201;0,4571
36047114202;0,5101
36047114400;0,556
36047114600;0,4472
36047115000;0,4546
36047115200;0,5333
36047115600;0,57
36047115800;0,5472
36047116000;0,5221
36047116200;0,4649
36047116400;0,4554
36047116600;0,4665
36047116800;0,4629
36047117000;0,4326
36047117201;0,4523
36047117202;0,4118
36047117400;0,4352
36047117601;0,4601
36047117602;0,4414
36047117800;0,4923
36047118201;0,4873
36047118202;0,5382
36047118400;0,4446
36047118600;0,4589
36047118800;0,5122
36047119000;0,4565
36047119200;0,4823
36047119400;0,4806
36047119600;0,5073
36047119800;0,5666
36047120000;0,4342
36047120200;0,5159
36047120800;0,4839
36047121000;0,5625
36047121400;0,5488
36047122000;0,544
36047123700;0,4592
36047150200;0,432
36047152200;0,4895
36061000201;0,4612
36061000202;0,5752
36061000600;0,5285
36061000700;0,4502
36061000800;0,475
36061000900;0,4763
36061001001;0,4701
36061001002;0,4455
36061001200;0,5589
36061001300;0,4104
36061001401;0,4926
36061001402;0,5801
36061001501;0,568
36061001502;0,4238
36061001600;0,5506
36061001800;0,4978
36061002000;0,4581
36061002100;0,4602
36061002201;0,547
36061002202;0,5303
36061002400;0,4402
36061002500;0,4667
36061002601;0,5633
36061002602;0,499
36061002700;0,5994
36061002800;0,5545
36061002900;0,5338
36061003001;0,4917
36061003002;0,5293
36061003100;0,4819
36061003200;0,4875
36061003300;0,5766
36061003400;0,5485
36061003601;0,6534
36061003602;0,5187
36061003700;0,551
36061003800;0,5122
36061003900;0,5909
36061004000;0,4691
36061004100;0,5959
36061004200;0,5612
36061004300;0,5904
36061004400;0,4286
36061004500;0,5947
36061004700;0,5977
36061004800;0,611
36061004900;0,6049
36061005000;0,5449
36061005200;0,5363
36061005400;0,5055
36061005501;0,413
36061005502;0,5051
36061005600;0,6215
36061005700;0,5068
36061005800;0,5331
36061005900;0,6129
36061006000;0,4349
36061006100;0,5207
36061006200;0,4633
36061006300;0,569
36061006400;0,4525
36061006500;0,4938
36061006600;0,5124
36061006700;0,5311
36061006800;0,4913
36061006900;0,525
36061007000;0,4583
36061007100;0,4972
36061007200;0,4489
36061007300;0,4684
36061007400;0,5455
36061007500;0,5252
36061007600;0,5713
36061007700;0,5483
36061007800;0,4902
36061007900;0,605
36061008000;0,521
36061008100;0,589
36061008200;0,4689
36061008300;0,5777
36061008400;0,4993
36061008601;0,3954
36061008603;0,5718
36061008700;0,5224
36061008800;0,5016
36061008900;0,5415
36061009000;0,4735
36061009100;0,5656
36061009200;0,4918
36061009300;0,62
36061009400;0,3957
36061009500;0,541
36061009600;0,5831
36061009700;0,6184
36061009800;0,4929
36061009900;0,5537
36061010000;0,5136
36061010100;0,5053
36061010200;0,2663
36061010300;0,4051
36061010400;0,5479
36061010601;0,6455
36061010602;0,4679
36061010800;0,5297
36061010900;0,3414
36061011000;0,5546
36061011100;0,4947
36061011201;0,5676
36061011202;0,5296
36061011203;0,5646
36061011300;0,5676
36061011401;0,531
36061011402;0,5646
36061011500;0,5462
36061011600;0,5589
36061011700;0,4128
36061011800;0,5784
36061011900;0,523
