OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,COORD_X,COORD_Y
199,      0.07780850052,      0.00028874755,Rikers Island,199,Bronx, 1016742.200499875400000,  227529.739800970130000
200,      0.11266173543,      0.00074464317,Riverdale/North Riverdale/Fieldston,200,Bronx, 1009963.380626333500000,  267014.190255076220000
201,      0.13040411769,      0.00061935075,Rockaway Park,201,Queens, 1027736.521346076400000,  149890.085161154070000
202,      0.06992157126,      0.00010617540,Roosevelt Island,202,Manhattan,  998114.265705230760000,  216861.162284349210000
203,      0.18993781587,      0.00061512986,Rosedale,203,Queens, 1056534.442660378100000,  179057.247006226620000
204,      0.10191241831,      0.00064138427,Rossville/Woodrow,204,Staten Island,  926485.938978313930000,  136202.985650986520000
205,      0.14195338833,      0.00076621651,Saint Albans,205,Queens, 1049933.636375496600000,  191188.337269897980000
206,      0.21275679339,      0.00094439251,Saint George/New Brighton,206,Staten Island,  955854.205301260460000,  172088.092387314040000
207,      0.02837568315,      0.00004472308,Saint Michaels Cemetery/Woodside,207,Queens, 1012130.810577918900000,  217633.299382088390000
208,      0.21472100958,      0.00202032599,Schuylerville/Edgewater Park,208,Bronx, 1033088.737424669400000,  239283.262414254860000
209,      0.03069531135,      0.00003887034,Seaport,209,Manhattan,  983234.045722399720000,  197610.823577610720000
210,      0.11485198337,      0.00045315513,Sheepshead Bay,210,Brooklyn, 1000772.914155274500000,  154972.187944908980000
211,      0.02523450821,      0.00003972920,SoHo,211,Manhattan,  983823.807116490790000,  203008.491333003160000
212,      0.06712906534,      0.00016127619,Soundview/Bruckner,212,Bronx, 1020315.903282119100000,  240931.216211681110000
213,      0.15995878382,      0.00090407791,Soundview/Castle Hill,213,Bronx, 1023516.903780673600000,  237276.931876774320000
214,      0.13530031425,      0.00081197652,South Beach/Dongan Hills,214,Staten Island,  960498.781314774530000,  153070.105539336220000
215,      0.10355645363,      0.00039564702,South Jamaica,215,Queens, 1042216.245947959700000,  192344.280830044240000
